date,temp_max_c,temp_min_c,precipitation_mm,windspeed_max_kmh,temp_range_c
2026-08-18,18.8,9.8,0.0,15.1,9.0
2026-08-19,18.9,11.3,0.0,14.8,7.599999999999998
2026-08-20,18.5,10.7,0.0,17.3,7.800000000000001
2026-08-21,22.5,11.7,0.0,17.2,10.8
2026-08-22,17.3,10.6,0.5,13.9,6.700000000000001
2026-08-23,19.6,10.1,0.0,14.9,9.500000000000002
2026-08-24,19.1,12.2,0.0,24.3,6.900000000000002
2026-08-25,20.1,13.2,0.0,30.7,6.900000000000002
2026-08-26,26.0,11.4,0.0,15.5,14.6
2026-08-27,23.3,13.0,0.0,9.6,10.3
2026-08-28,22.7,11.4,0.0,12.8,11.299999999999999
2026-08-29,17.1,11.9,3.9,20.0,5.200000000000001
2026-08-30,16.9,11.0,0.0,20.6,5.899999999999999
2026-08-31,17.9,10.3,0.0,17.3,7.599999999999998
2026-09-01,19.2,8.7,0.0,14.1,10.5
2026-09-02,20.2,10.3,0.0,15.2,9.899999999999999
2026-09-03,17.2,10.4,2.2,33.7,6.799999999999999
2026-09-04,20.6,13.6,0.0,36.9,7.000000000000002
2026-09-05,23.6,12.3,0.0,31.6,11.3
2026-09-06,28.0,13.8,0.0,18.2,14.2
2026-09-07,29.3,16.6,0.0,8.3,12.7
2026-09-08,27.0,14.9,0.0,9.9,12.1
2026-09-09,22.4,15.3,0.0,22.8,7.099999999999998
2026-09-10,20.0,14.8,0.0,19.7,5.199999999999999
2026-09-11,21.6,15.1,0.0,29.6,6.500000000000002
2026-09-12,18.6,15.3,7.7,26.8,3.3000000000000007
2026-09-13,26.0,13.4,7.1,13.8,12.6
2026-09-14,16.9,13.4,10.7,26.0,3.4999999999999982
2026-09-15,16.1,13.5,19.5,31.8,2.6000000000000014
2026-09-16,16.9,12.1,4.6,27.7,4.799999999999999
2026-09-17,17.7,12.5,0.0,29.7,5.199999999999999
